State,Year,Quater,metric_amount,metric_count,metric_type
manipur,2020,2,105034881.03695941,48617,kangpokpi district
manipur,2020,2,44082720.741025195,14604,noney district
manipur,2020,2,269647863.43556607,127255,imphal east district
manipur,2020,2,158615301.51328385,66183,thoubal district
manipur,2020,2,53791181.45126964,30404,kakching district
manipur,2020,2,28862256.51424871,13861,jiribam district
manipur,2020,2,43560417.96634197,24243,ukhrul district
manipur,2020,2,47020896.803083815,21294,tamenglong district
manipur,2020,2,11168145.844261197,4430,kamjong district
manipur,2020,2,49008541.100852005,21517,chandel district
manipur,2020,2,142299534.95281482,70841,bishnupur district
manipur,2020,2,27792929.58458709,17187,senapati district
manipur,2020,2,4220742.5953207435,1363,pherzawl district
manipur,2020,2,128936170.25492851,50818,churachandpur district
manipur,2020,2,50033115.318425305,18676,tengnoupal district
manipur,2020,2,2034861513.6925411,551775,imphal west district
manipur,2020,3,141494952.88474357,56646,kangpokpi district
manipur,2020,3,42576247.00801732,12955,noney district
manipur,2020,3,357420385.46601486,148992,imphal east district
manipur,2020,3,178314817.40950677,75667,thoubal district
manipur,2020,3,72744605.62932977,33268,kakching district
manipur,2020,3,44785891.80461171,17173,jiribam district
manipur,2020,3,63120519.96337035,27857,ukhrul district
manipur,2020,3,57102594.74572652,24595,tamenglong district
manipur,2020,3,16944663.485157657,5040,kamjong district
manipur,2020,3,63504521.07112962,25158,chandel district
manipur,2020,3,178752852.0332132,82097,bishnupur district
manipur,2020,3,47618195.960208856,22336,senapati district
manipur,2020,3,4920973.997680077,2016,pherzawl district
manipur,2020,3,179008408.76793516,61160,churachandpur district
manipur,2020,3,50761115.422037035,19244,tengnoupal district
manipur,2020,3,3116905375.2218285,805964,imphal west district
manipur,2020,4,216458503.28856832,74472,kangpokpi district
manipur,2020,4,52819316.83640482,14618,noney district
manipur,2020,4,524041651.00012255,179438,imphal east district
manipur,2020,4,249311101.38298762,87208,thoubal district
manipur,2020,4,96767393.90324815,37180,kakching district
manipur,2020,4,56276520.99872882,19898,jiribam district
manipur,2020,4,91688189.17603046,32947,ukhrul district
manipur,2020,4,77956516.78360562,27674,tamenglong district
manipur,2020,4,21815826.79135724,6676,kamjong district
manipur,2020,4,90473275.49273106,31540,chandel district
manipur,2020,4,267444206.38869548,95869,bishnupur district
manipur,2020,4,79537295.38666978,27636,senapati district
manipur,2020,4,4810299.528864712,2329,pherzawl district
manipur,2020,4,243354880.54309082,71693,churachandpur district
manipur,2020,4,81989716.00595729,23797,tengnoupal district
manipur,2020,4,3447479864.9516916,894877,imphal west district
manipur,2020,1,81400323.90620552,33643,kangpokpi district
manipur,2020,1,23331883.38449249,8941,noney district
manipur,2020,1,222479758.42504126,97573,imphal east district
manipur,2020,1,92413414.3395817,40558,thoubal district
manipur,2020,1,37525920.22436564,16690,kakching district
manipur,2020,1,20332072.3920429,8704,jiribam district
manipur,2020,1,30659040.231015503,13355,ukhrul district
manipur,2020,1,31491246.17045552,14451,tamenglong district
manipur,2020,1,6910208.366847619,2768,kamjong district
manipur,2020,1,31278977.085135248,13716,chandel district
manipur,2020,1,83818557.86725357,40172,bishnupur district
manipur,2020,1,18344875.736180037,9922,senapati district
manipur,2020,1,1624394.409407775,982,pherzawl district
manipur,2020,1,84566221.4462608,33637,churachandpur district
manipur,2020,1,33219739.526860353,12297,tengnoupal district
manipur,2020,1,1799193747.3658047,471392,imphal west district
manipur,2021,2,236369410.09906262,78765,kangpokpi district
manipur,2021,2,49460189.27496501,13296,noney district
manipur,2021,2,491977805.9791717,179337,imphal east district
manipur,2021,2,268514237.48815316,91264,thoubal district
manipur,2021,2,92311646.34027098,37444,kakching district
manipur,2021,2,67560643.64335921,21823,jiribam district
manipur,2021,2,81225585.7217874,28524,ukhrul district
manipur,2021,2,77929754.45097202,24852,tamenglong district
manipur,2021,2,31394830.195748344,6983,kamjong district
manipur,2021,2,90054101.93360364,29178,chandel district
manipur,2021,2,260900495.16290623,89095,bishnupur district
manipur,2021,2,70219657.8819672,25681,senapati district
manipur,2021,2,5443830.799674254,1842,pherzawl district
manipur,2021,2,273962339.3949944,80524,churachandpur district
manipur,2021,2,94806974.44450317,23771,tengnoupal district
manipur,2021,2,5697696459.585503,2353896,imphal west district
manipur,2021,3,299760833.40438926,94883,kangpokpi district
manipur,2021,3,63161488.24690456,16371,noney district
manipur,2021,3,705081475.2381085,226128,imphal east district
manipur,2021,3,363547884.1177802,113257,thoubal district
manipur,2021,3,128692670.00805303,44277,kakching district
manipur,2021,3,80773937.39020777,26615,jiribam district
manipur,2021,3,118509943.90387845,35250,ukhrul district
manipur,2021,3,108769884.20480461,33266,tamenglong district
manipur,2021,3,32384455.496498216,7567,kamjong district
manipur,2021,3,116052040.78947881,36126,chandel district
manipur,2021,3,320379628.1976948,104901,bishnupur district
manipur,2021,3,94805880.65418252,30580,senapati district
manipur,2021,3,6654015.070624737,2176,pherzawl district
manipur,2021,3,397548796.562021,109913,churachandpur district
manipur,2021,3,133669134.59317195,32351,tengnoupal district
manipur,2021,3,7437068961.027054,3027735,imphal west district
manipur,2021,4,318563859.82046556,107329,kangpokpi district
manipur,2021,4,68519523.59000592,18970,noney district
manipur,2021,4,853764884.9988655,268205,imphal east district
manipur,2021,4,393043161.28167,130316,thoubal district
manipur,2021,4,130159064.31913412,43224,kakching district
manipur,2021,4,97241435.32166685,30742,jiribam district
manipur,2021,4,142778895.31045908,38665,ukhrul district
manipur,2021,4,140792582.9323008,40279,tamenglong district
manipur,2021,4,32152837.655377008,8685,kamjong district
manipur,2021,4,131651667.09783676,39891,chandel district
manipur,2021,4,369885898.8351996,113386,bishnupur district
manipur,2021,4,119108747.24317983,33983,senapati district
manipur,2021,4,4851553.5065681385,2553,pherzawl district
manipur,2021,4,446895232.6851511,121140,churachandpur district
manipur,2021,4,154956864.23616886,40383,tengnoupal district
manipur,2021,4,9254105829.377777,3649688,imphal west district
manipur,2021,1,205050443.8236801,63234,kangpokpi district
manipur,2021,1,47249169.68840321,12635,noney district
manipur,2021,1,530028907.0928848,161841,imphal east district
manipur,2021,1,240713473.6681419,72593,thoubal district
manipur,2021,1,92307870.36114596,29803,kakching district
manipur,2021,1,58448279.737162024,16697,jiribam district
manipur,2021,1,68745913.46443734,22415,ukhrul district
manipur,2021,1,72960342.05136192,20962,tamenglong district
manipur,2021,1,24926447.76105148,6312,kamjong district
manipur,2021,1,80445733.20656839,23884,chandel district
