State,Year,Quater,RegisteredUsers,DISTRICTS
manipur,2020,2,12965,kangpokpi district
manipur,2020,2,2236,noney district
manipur,2020,2,43144,imphal east district
manipur,2020,2,20186,thoubal district
manipur,2020,2,9028,kakching district
manipur,2020,2,3660,jiribam district
manipur,2020,2,6223,ukhrul district
manipur,2020,2,5158,tamenglong district
manipur,2020,2,888,kamjong district
manipur,2020,2,4278,chandel district
manipur,2020,2,19027,bishnupur district
manipur,2020,2,1095,senapati district
manipur,2020,2,316,pherzawl district
manipur,2020,2,15469,churachandpur district
manipur,2020,2,3926,tengnoupal district
manipur,2020,2,67897,imphal west district
manipur,2020,3,15966,kangpokpi district
manipur,2020,3,2736,noney district
manipur,2020,3,51383,imphal east district
manipur,2020,3,24183,thoubal district
manipur,2020,3,10752,kakching district
manipur,2020,3,4238,jiribam district
manipur,2020,3,7657,ukhrul district
manipur,2020,3,6475,tamenglong district
manipur,2020,3,1124,kamjong district
manipur,2020,3,5252,chandel district
manipur,2020,3,22965,bishnupur district
manipur,2020,3,1317,senapati district
manipur,2020,3,438,pherzawl district
manipur,2020,3,19501,churachandpur district
manipur,2020,3,4853,tengnoupal district
manipur,2020,3,79723,imphal west district
manipur,2020,4,17814,kangpokpi district
manipur,2020,4,3042,noney district
manipur,2020,4,57282,imphal east district
manipur,2020,4,26858,thoubal district
manipur,2020,4,11913,kakching district
manipur,2020,4,4621,jiribam district
manipur,2020,4,8651,ukhrul district
manipur,2020,4,7322,tamenglong district
manipur,2020,4,1333,kamjong district
manipur,2020,4,5987,chandel district
manipur,2020,4,25629,bishnupur district
manipur,2020,4,1513,senapati district
manipur,2020,4,533,pherzawl district
manipur,2020,4,21960,churachandpur district
manipur,2020,4,5537,tengnoupal district
manipur,2020,4,88777,imphal west district
manipur,2020,1,10241,kangpokpi district
manipur,2020,1,1787,noney district
manipur,2020,1,36105,imphal east district
manipur,2020,1,16244,thoubal district
manipur,2020,1,7075,kakching district
manipur,2020,1,3051,jiribam district
manipur,2020,1,4892,ukhrul district
manipur,2020,1,4169,tamenglong district
manipur,2020,1,755,kamjong district
manipur,2020,1,3471,chandel district
manipur,2020,1,15333,bishnupur district
manipur,2020,1,922,senapati district
manipur,2020,1,245,pherzawl district
manipur,2020,1,12420,churachandpur district
manipur,2020,1,3179,tengnoupal district
manipur,2020,1,57485,imphal west district
manipur,2021,2,20703,kangpokpi district
manipur,2021,2,3566,noney district
manipur,2021,2,66388,imphal east district
manipur,2021,2,31139,thoubal district
manipur,2021,2,13816,kakching district
manipur,2021,2,5468,jiribam district
manipur,2021,2,10142,ukhrul district
manipur,2021,2,8580,tamenglong district
manipur,2021,2,1619,kamjong district
manipur,2021,2,6980,chandel district
manipur,2021,2,29671,bishnupur district
manipur,2021,2,1769,senapati district
manipur,2021,2,663,pherzawl district
manipur,2021,2,25573,churachandpur district
manipur,2021,2,6499,tengnoupal district
manipur,2021,2,102833,imphal west district
manipur,2021,3,22416,kangpokpi district
manipur,2021,3,3902,noney district
manipur,2021,3,71436,imphal east district
manipur,2021,3,33478,thoubal district
manipur,2021,3,14924,kakching district
manipur,2021,3,5941,jiribam district
manipur,2021,3,11045,ukhrul district
manipur,2021,3,9326,tamenglong district
manipur,2021,3,1791,kamjong district
manipur,2021,3,7597,chandel district
manipur,2021,3,31996,bishnupur district
manipur,2021,3,1958,senapati district
manipur,2021,3,778,pherzawl district
manipur,2021,3,27600,churachandpur district
manipur,2021,3,7055,tengnoupal district
manipur,2021,3,110506,imphal west district
manipur,2021,4,24082,kangpokpi district
manipur,2021,4,4235,noney district
manipur,2021,4,76421,imphal east district
manipur,2021,4,35832,thoubal district
manipur,2021,4,15985,kakching district
manipur,2021,4,6397,jiribam district
manipur,2021,4,11949,ukhrul district
manipur,2021,4,10063,tamenglong district
manipur,2021,4,1996,kamjong district
manipur,2021,4,8184,chandel district
manipur,2021,4,34316,bishnupur district
manipur,2021,4,2157,senapati district
manipur,2021,4,865,pherzawl district
manipur,2021,4,29651,churachandpur district
manipur,2021,4,7557,tengnoupal district
manipur,2021,4,118056,imphal west district
manipur,2021,1,19239,kangpokpi district
manipur,2021,1,3286,noney district
manipur,2021,1,62004,imphal east district
manipur,2021,1,29072,thoubal district
manipur,2021,1,12888,kakching district
manipur,2021,1,5045,jiribam district
manipur,2021,1,9372,ukhrul district
manipur,2021,1,7960,tamenglong district
manipur,2021,1,1481,kamjong district
manipur,2021,1,6467,chandel district
manipur,2021,1,27615,bishnupur district
manipur,2021,1,1655,senapati district
manipur,2021,1,607,pherzawl district
manipur,2021,1,23827,churachandpur district
manipur,2021,1,6049,tengnoupal district
manipur,2021,1,96101,imphal west district
manipur,2018,2,2183,kangpokpi district
manipur,2018,2,351,noney district
manipur,2018,2,10390,imphal east district
manipur,2018,2,4771,thoubal district
manipur,2018,2,1571,kakching district
manipur,2018,2,732,jiribam district
manipur,2018,2,905,ukhrul district
manipur,2018,2,824,tamenglong district
manipur,2018,2,144,kamjong district
manipur,2018,2,706,chandel district
manipur,2018,2,3751,bishnupur district
manipur,2018,2,155,senapati district
manipur,2018,2,38,pherzawl district
manipur,2018,2,2362,churachandpur district
manipur,2018,2,631,tengnoupal district
manipur,2018,2,16541,imphal west district
manipur,2018,3,3073,kangpokpi district
manipur,2018,3,504,noney district
manipur,2018,3,13541,imphal east district
manipur,2018,3,6112,thoubal district
manipur,2018,3,2326,kakching district
manipur,2018,3,1086,jiribam district
manipur,2018,3,1346,ukhrul district
manipur,2018,3,1268,tamenglong district
manipur,2018,3,213,kamjong district
manipur,2018,3,962,chandel district
manipur,2018,3,5106,bishnupur district
manipur,2018,3,229,senapati district
manipur,2018,3,51,pherzawl district
manipur,2018,3,3420,churachandpur district
manipur,2018,3,1002,tengnoupal district
manipur,2018,3,21696,imphal west district
manipur,2018,4,4249,kangpokpi district
manipur,2018,4,716,noney district
manipur,2018,4,17777,imphal east district
manipur,2018,4,8027,thoubal district
manipur,2018,4,3153,kakching district
manipur,2018,4,1393,jiribam district
manipur,2018,4,1842,ukhrul district
manipur,2018,4,1712,tamenglong district
manipur,2018,4,290,kamjong district
manipur,2018,4,1342,chandel district
manipur,2018,4,7049,bishnupur district
manipur,2018,4,337,senapati district
manipur,2018,4,68,pherzawl district
manipur,2018,4,4951,churachandpur district
manipur,2018,4,1300,tengnoupal district
manipur,2018,4,28383,imphal west district
manipur,2018,1,1439,kangpokpi district
manipur,2018,1,216,noney district
manipur,2018,1,6759,imphal east district
manipur,2018,1,2764,thoubal district
manipur,2018,1,915,kakching district
manipur,2018,1,460,jiribam district
manipur,2018,1,602,ukhrul district
manipur,2018,1,550,tamenglong district
manipur,2018,1,108,kamjong district
manipur,2018,1,452,chandel district
manipur,2018,1,2371,bishnupur district
manipur,2018,1,85,senapati district
manipur,2018,1,24,pherzawl district
manipur,2018,1,1524,churachandpur district
manipur,2018,1,352,tengnoupal district
manipur,2018,1,11304,imphal west district
manipur,2023,2,32306,kangpokpi district
manipur,2023,2,5653,noney district
manipur,2023,2,102530,imphal east district
manipur,2023,2,48169,thoubal district
manipur,2023,2,21613,kakching district
manipur,2023,2,8764,jiribam district
manipur,2023,2,15758,ukhrul district
manipur,2023,2,13463,tamenglong district
manipur,2023,2,2579,kamjong district
manipur,2023,2,10941,chandel district
manipur,2023,2,46010,bishnupur district
manipur,2023,2,2804,senapati district
manipur,2023,2,1095,pherzawl district
manipur,2023,2,40043,churachandpur district
manipur,2023,2,10160,tengnoupal district
manipur,2023,2,157911,imphal west district
manipur,2023,3,33690,kangpokpi district
manipur,2023,3,5895,noney district
manipur,2023,3,106699,imphal east district
manipur,2023,3,50179,thoubal district
manipur,2023,3,22516,kakching district
manipur,2023,3,9171,jiribam district
manipur,2023,3,16460,ukhrul district
manipur,2023,3,14077,tamenglong district
manipur,2023,3,2698,kamjong district
manipur,2023,3,11414,chandel district
manipur,2023,3,47895,bishnupur district
manipur,2023,3,2937,senapati district
manipur,2023,3,1163,pherzawl district
manipur,2023,3,41799,churachandpur district
manipur,2023,3,10629,tengnoupal district
manipur,2023,3,164350,imphal west district
manipur,2023,1,30917,kangpokpi district
manipur,2023,1,5349,noney district
manipur,2023,1,98499,imphal east district
manipur,2023,1,46248,thoubal district
manipur,2023,1,20700,kakching district
manipur,2023,1,8381,jiribam district
manipur,2023,1,15024,ukhrul district
manipur,2023,1,12843,tamenglong district
manipur,2023,1,2411,kamjong district
manipur,2023,1,10406,chandel district
manipur,2023,1,44031,bishnupur district
manipur,2023,1,2658,senapati district
manipur,2023,1,1020,pherzawl district
manipur,2023,1,38361,churachandpur district
manipur,2023,1,9712,tengnoupal district
