State,Year,Quater,EntityName,metric_amount,metric_count
manipur,2020,2,imphal west,2034861513.6925411,551775
manipur,2020,2,imphal east,269647863.4355661,127255
manipur,2020,2,bishnupur,142299534.95281482,70841
manipur,2020,2,thoubal,158615301.51328385,66183
manipur,2020,2,churachandpur,128936170.25492851,50818
manipur,2020,2,kangpokpi,105034881.03695941,48617
manipur,2020,2,kakching,53791181.45126964,30404
manipur,2020,2,ukhrul,43560417.966341965,24243
manipur,2020,2,chandel,49008541.10085201,21517
manipur,2020,2,tamenglong,47020896.803083815,21294
manipur,2020,3,imphal west,3116905375.221828,805964
manipur,2020,3,imphal east,357420385.46601486,148992
manipur,2020,3,bishnupur,178752852.0332132,82097
manipur,2020,3,thoubal,178314817.40950677,75667
manipur,2020,3,churachandpur,179008408.76793513,61160
manipur,2020,3,kangpokpi,141494952.88474357,56646
manipur,2020,3,kakching,72744605.62932977,33268
manipur,2020,3,ukhrul,63120519.96337035,27857
manipur,2020,3,chandel,63504521.07112962,25158
manipur,2020,3,tamenglong,57102594.74572652,24595
manipur,2020,4,imphal west,3447479864.9516916,894877
manipur,2020,4,imphal east,524041651.0001225,179438
manipur,2020,4,bishnupur,267444206.3886955,95869
manipur,2020,4,thoubal,249311101.38298762,87208
manipur,2020,4,kangpokpi,216458503.28856832,74472
manipur,2020,4,churachandpur,243354880.5430908,71693
manipur,2020,4,kakching,96767393.90324815,37180
manipur,2020,4,ukhrul,91688189.17603046,32947
manipur,2020,4,chandel,90473275.49273106,31540
manipur,2020,4,tamenglong,77956516.78360562,27674
manipur,2020,1,imphal west,1799193747.3658047,471392
manipur,2020,1,imphal east,222479758.42504126,97573
manipur,2020,1,thoubal,92413414.3395817,40558
manipur,2020,1,bishnupur,83818557.86725356,40172
manipur,2020,1,kangpokpi,81400323.90620552,33643
manipur,2020,1,churachandpur,84566221.4462608,33637
manipur,2020,1,kakching,37525920.22436564,16690
manipur,2020,1,tamenglong,31491246.17045552,14451
manipur,2020,1,chandel,31278977.085135248,13716
manipur,2020,1,ukhrul,30659040.231015503,13355
manipur,2021,2,imphal west,5697696459.585503,2353896
