State,Year,Quater,Entity_Name,Metric_Amount,Metric_Count
manipur,2020,2,795004,1785185559.4248211,434372
manipur,2020,2,795133,78140997.53542186,37798
manipur,2020,2,795138,75820288.94663924,30249
manipur,2020,2,795001,64637545.78666336,30163
manipur,2020,2,795002,64115117.27000809,28649
manipur,2020,2,795103,48348962.68931339,26957
manipur,2020,2,795148,63698749.748529874,26952
manipur,2020,2,795149,54447797.892471895,25348
manipur,2020,2,795128,60475365.348625734,22004
manipur,2020,2,795010,40070674.34978539,21593
manipur,2020,3,795004,2783564813.2543106,668121
manipur,2020,3,795133,91377856.61182675,39633
manipur,2020,3,795001,100794824.11540367,37763
manipur,2020,3,795138,90478654.05794755,37003
manipur,2020,3,795002,85557701.29399624,32589
manipur,2020,3,795103,65449502.81618789,30393
manipur,2020,3,795148,73091134.6093145,29878
manipur,2020,3,795128,88214853.90578212,29127
manipur,2020,3,795149,67187829.42387846,28473
manipur,2020,3,795010,55104065.47168037,24695
manipur,2020,4,795004,2994638886.281819,735821
manipur,2020,4,795001,166310982.51326972,50986
manipur,2020,4,795133,129937731.4075594,45765
manipur,2020,4,795138,122532691.00344451,41754
manipur,2020,4,795002,113247697.0894908,39018
manipur,2020,4,795148,102124943.04454702,35670
manipur,2020,4,795103,90732237.57658619,34654
manipur,2020,4,795128,117549054.38800444,32853
manipur,2020,4,795107,92161645.01433721,31876
manipur,2020,4,795149,88653311.98252767,30448
manipur,2020,1,795004,1585768079.294744,387305
manipur,2020,1,795001,71746308.31074907,29338
manipur,2020,1,795002,49969749.15235273,23472
manipur,2020,1,795133,39998266.40328973,19760
manipur,2020,1,795138,45574900.73661077,18804
manipur,2020,1,795003,62464386.41518304,18491
manipur,2020,1,795148,34279598.47380114,16024
manipur,2020,1,795107,36913496.96682216,15648
manipur,2020,1,795103,35641602.94164023,15607
manipur,2020,1,795149,35928977.22083622,14785
manipur,2021,2,795004,5211049973.461837,2185030
manipur,2021,2,795001,131734104.17665228,46325
manipur,2021,2,795133,144473238.27939054,44948
manipur,2021,2,795138,122133179.43891996,42030
manipur,2021,2,795002,111647241.34338762,41066
manipur,2021,2,795128,126121651.05222753,38339
manipur,2021,2,795148,110126803.80705282,38043
manipur,2021,2,795103,89128017.27387875,35832
manipur,2021,2,795107,106224479.64657478,35141
manipur,2021,2,795149,84575734.09783353,28651
manipur,2021,3,795004,6823004582.206873,2823956
manipur,2021,3,795001,207496231.94250196,63235
manipur,2021,3,795133,176697938.23382312,53340
manipur,2021,3,795002,166795951.33997193,52916
manipur,2021,3,795138,164039582.16495326,51630
manipur,2021,3,795128,179539018.97418427,51217
manipur,2021,3,795148,145269736.73353177,47825
manipur,2021,3,795107,131825035.77348277,43620
manipur,2021,3,795103,122545388.96263914,42874
manipur,2021,3,795149,122341897.59110552,35644
manipur,2021,4,795004,8509771291.735897,3416235
manipur,2021,4,795001,271500636.64166105,80571
manipur,2021,4,795002,205142971.6276666,62748
manipur,2021,4,795133,204797473.2713009,60364
manipur,2021,4,795138,187064825.8482265,58879
manipur,2021,4,795128,203958848.4487077,54120
manipur,2021,4,795148,150150678.49732533,53342
manipur,2021,4,795107,143644492.9049537,49515
manipur,2021,4,795149,148358606.67382938,42501
manipur,2021,4,795103,121139818.62556697,41864
manipur,2021,1,795004,4521302248.497635,1557689
manipur,2021,1,795001,162912662.9322396,47326
manipur,2021,1,795002,115764588.4730033,39543
manipur,2021,1,795133,128099048.48124702,35007
manipur,2021,1,795138,120845508.83923979,34160
manipur,2021,1,795148,95740714.71725169,30444
manipur,2021,1,795107,91689029.57496029,29678
manipur,2021,1,795103,88442534.4035099,28626
manipur,2021,1,795128,117955874.61714467,28339
manipur,2021,1,795149,92674945.95095426,26145
manipur,2018,2,795004,44371601.789746955,18869
manipur,2018,2,795001,20780535.104123443,11421
manipur,2018,2,795138,10328620.30235086,10598
manipur,2018,2,795130,4411550.308926317,8787
manipur,2018,2,795148,6416280.939354524,8124
manipur,2018,2,795008,6424120.1701824935,7956
manipur,2018,2,795149,7402520.412686354,7677
manipur,2018,2,795133,10382916.496883135,7109
manipur,2018,2,795009,7127037.549029747,6537
manipur,2018,2,795010,8471239.484244682,5110
manipur,2018,3,795008,15778360.208970271,22448
manipur,2018,3,795004,61681660.67057082,22196
manipur,2018,3,795001,31271196.166412406,15883
manipur,2018,3,795138,20443510.769133568,10525
manipur,2018,3,795133,12631267.784410078,8504
manipur,2018,3,795148,11875212.226570638,7723
manipur,2018,3,795132,9049086.682711724,6976
manipur,2018,3,795149,9524903.275712792,6292
manipur,2018,3,795009,10405423.891936263,6228
manipur,2018,3,795010,11283039.738901485,5771
manipur,2018,4,795004,95104886.51172696,32711
manipur,2018,4,795001,48128337.59258818,19824
manipur,2018,4,795138,27087023.257224698,12501
manipur,2018,4,795133,19534498.355745625,10795
manipur,2018,4,795148,18953989.770510618,9494
manipur,2018,4,795132,13377220.69851027,7849
manipur,2018,4,795149,16701062.637170646,7506
manipur,2018,4,795002,22565426.57785627,7121
manipur,2018,4,795107,25299899.69137483,7028
manipur,2018,4,795008,12533403.844624616,6971
manipur,2018,1,795004,23682933.58208196,12606
manipur,2018,1,795001,10244714.67605827,8487
manipur,2018,1,795133,6458893.323608544,4140
manipur,2018,1,795130,1947352.8842733959,4015
manipur,2018,1,795138,3186030.4751248285,4012
manipur,2018,1,795009,4170135.4255989287,3749
manipur,2018,1,795149,3526963.202119058,3632
manipur,2018,1,795008,2936870.674948047,3285
manipur,2018,1,795002,4270672.741117084,3020
manipur,2018,1,795148,3058970.431631125,2976
manipur,2023,2,795004,619969789.0,224651
manipur,2023,2,795001,258134076.0,108635
manipur,2023,2,795002,226003227.0,93433
manipur,2023,2,795148,177527055.0,68329
manipur,2023,2,795138,169010290.0,60088
manipur,2023,2,795133,178002651.0,59148
