State,Year,Quater,RegisteredUsers,Districts
manipur,2020,2,67897,imphal west
manipur,2020,2,43144,imphal east
manipur,2020,2,20186,thoubal
manipur,2020,2,19027,bishnupur
manipur,2020,2,15469,churachandpur
manipur,2020,2,12965,kangpokpi
manipur,2020,2,9028,kakching
manipur,2020,2,6223,ukhrul
manipur,2020,2,5158,tamenglong
manipur,2020,2,4278,chandel
manipur,2020,3,79723,imphal west
manipur,2020,3,51383,imphal east
manipur,2020,3,24183,thoubal
manipur,2020,3,22965,bishnupur
manipur,2020,3,19501,churachandpur
manipur,2020,3,15966,kangpokpi
manipur,2020,3,10752,kakching
manipur,2020,3,7657,ukhrul
manipur,2020,3,6475,tamenglong
manipur,2020,3,5252,chandel
manipur,2020,4,88777,imphal west
manipur,2020,4,57282,imphal east
manipur,2020,4,26858,thoubal
manipur,2020,4,25629,bishnupur
manipur,2020,4,21960,churachandpur
manipur,2020,4,17814,kangpokpi
manipur,2020,4,11913,kakching
manipur,2020,4,8651,ukhrul
manipur,2020,4,7322,tamenglong
manipur,2020,4,5987,chandel
manipur,2020,1,57485,imphal west
manipur,2020,1,36105,imphal east
manipur,2020,1,16244,thoubal
manipur,2020,1,15333,bishnupur
manipur,2020,1,12420,churachandpur
manipur,2020,1,10241,kangpokpi
manipur,2020,1,7075,kakching
manipur,2020,1,4892,ukhrul
manipur,2020,1,4169,tamenglong
manipur,2020,1,3471,chandel
manipur,2021,2,102833,imphal west
manipur,2021,2,66388,imphal east
manipur,2021,2,31139,thoubal
manipur,2021,2,29671,bishnupur
manipur,2021,2,25573,churachandpur
manipur,2021,2,20703,kangpokpi
manipur,2021,2,13816,kakching
manipur,2021,2,10142,ukhrul
manipur,2021,2,8580,tamenglong
manipur,2021,2,6980,chandel
manipur,2021,3,110506,imphal west
manipur,2021,3,71436,imphal east
manipur,2021,3,33478,thoubal
manipur,2021,3,31996,bishnupur
manipur,2021,3,27600,churachandpur
manipur,2021,3,22416,kangpokpi
manipur,2021,3,14924,kakching
manipur,2021,3,11045,ukhrul
manipur,2021,3,9326,tamenglong
manipur,2021,3,7597,chandel
manipur,2021,4,118056,imphal west
manipur,2021,4,76421,imphal east
manipur,2021,4,35832,thoubal
manipur,2021,4,34316,bishnupur
manipur,2021,4,29651,churachandpur
manipur,2021,4,24082,kangpokpi
manipur,2021,4,15985,kakching
manipur,2021,4,11949,ukhrul
manipur,2021,4,10063,tamenglong
manipur,2021,4,8184,chandel
manipur,2021,1,96101,imphal west
manipur,2021,1,62004,imphal east
manipur,2021,1,29072,thoubal
manipur,2021,1,27615,bishnupur
manipur,2021,1,23827,churachandpur
manipur,2021,1,19239,kangpokpi
manipur,2021,1,12888,kakching
manipur,2021,1,9372,ukhrul
manipur,2021,1,7960,tamenglong
manipur,2021,1,6467,chandel
manipur,2018,2,16541,imphal west
manipur,2018,2,10390,imphal east
manipur,2018,2,4771,thoubal
manipur,2018,2,3751,bishnupur
manipur,2018,2,2362,churachandpur
manipur,2018,2,2183,kangpokpi
manipur,2018,2,1571,kakching
manipur,2018,2,905,ukhrul
manipur,2018,2,824,tamenglong
manipur,2018,2,732,jiribam
manipur,2018,3,21696,imphal west
manipur,2018,3,13541,imphal east
manipur,2018,3,6112,thoubal
manipur,2018,3,5106,bishnupur
manipur,2018,3,3420,churachandpur
manipur,2018,3,3073,kangpokpi
manipur,2018,3,2326,kakching
manipur,2018,3,1346,ukhrul
manipur,2018,3,1268,tamenglong
manipur,2018,3,1086,jiribam
manipur,2018,4,28383,imphal west
manipur,2018,4,17777,imphal east
manipur,2018,4,8027,thoubal
manipur,2018,4,7049,bishnupur
manipur,2018,4,4951,churachandpur
manipur,2018,4,4249,kangpokpi
manipur,2018,4,3153,kakching
manipur,2018,4,1842,ukhrul
manipur,2018,4,1712,tamenglong
manipur,2018,4,1393,jiribam
manipur,2018,1,11304,imphal west
manipur,2018,1,6759,imphal east
manipur,2018,1,2764,thoubal
manipur,2018,1,2371,bishnupur
manipur,2018,1,1524,churachandpur
manipur,2018,1,1439,kangpokpi
manipur,2018,1,915,kakching
manipur,2018,1,602,ukhrul
manipur,2018,1,550,tamenglong
manipur,2018,1,460,jiribam
manipur,2023,2,157911,imphal west
manipur,2023,2,102530,imphal east
manipur,2023,2,48169,thoubal
manipur,2023,2,46010,bishnupur
manipur,2023,2,40043,churachandpur
manipur,2023,2,32306,kangpokpi
manipur,2023,2,21613,kakching
manipur,2023,2,15758,ukhrul
manipur,2023,2,13463,tamenglong
manipur,2023,2,10941,chandel
manipur,2023,3,164350,imphal west
manipur,2023,3,106699,imphal east
manipur,2023,3,50179,thoubal
manipur,2023,3,47895,bishnupur
manipur,2023,3,41799,churachandpur
manipur,2023,3,33690,kangpokpi
manipur,2023,3,22516,kakching
