State,Year,Quater,RegisteredUsers,Pincode
manipur,2020,2,32442,795004
manipur,2020,2,13115,795001
manipur,2020,2,10076,795138
manipur,2020,2,9675,795133
manipur,2020,2,8426,795103
manipur,2020,2,7522,795002
manipur,2020,2,7283,795008
manipur,2020,2,6862,795148
manipur,2020,2,6744,795149
manipur,2020,2,6572,795010
manipur,2020,3,37728,795004
manipur,2020,3,15470,795001
manipur,2020,3,12056,795138
manipur,2020,3,11530,795133
manipur,2020,3,10017,795103
manipur,2020,3,8812,795002
manipur,2020,3,8766,795008
manipur,2020,3,8207,795148
manipur,2020,3,8206,795149
manipur,2020,3,8105,795010
manipur,2020,4,41917,795004
manipur,2020,4,17273,795001
manipur,2020,4,13264,795138
manipur,2020,4,12893,795133
manipur,2020,4,11106,795103
manipur,2020,4,9845,795008
manipur,2020,4,9803,795002
manipur,2020,4,9237,795148
manipur,2020,4,9058,795149
manipur,2020,4,9055,795010
manipur,2020,1,28400,795004
manipur,2020,1,11267,795001
manipur,2020,1,8206,795138
manipur,2020,1,7649,795133
manipur,2020,1,6635,795103
manipur,2020,1,6376,795002
manipur,2020,1,6066,795008
manipur,2020,1,5614,795148
manipur,2020,1,5397,795010
manipur,2020,1,5197,795149
manipur,2021,2,48527,795004
manipur,2021,2,19987,795001
manipur,2021,2,15383,795138
manipur,2021,2,14912,795133
manipur,2021,2,12882,795103
manipur,2021,2,11401,795008
manipur,2021,2,11348,795002
manipur,2021,2,10740,795148
manipur,2021,2,10542,795010
manipur,2021,2,10473,795149
manipur,2021,3,52013,795004
manipur,2021,3,21440,795001
manipur,2021,3,16512,795138
manipur,2021,3,16112,795133
manipur,2021,3,13914,795103
manipur,2021,3,12242,795008
manipur,2021,3,12236,795002
manipur,2021,3,11534,795148
manipur,2021,3,11378,795010
manipur,2021,3,11323,795149
manipur,2021,4,55504,795004
manipur,2021,4,22870,795001
manipur,2021,4,17655,795138
manipur,2021,4,17290,795133
manipur,2021,4,14898,795103
manipur,2021,4,13103,795002
manipur,2021,4,13084,795008
manipur,2021,4,12351,795148
manipur,2021,4,12210,795010
manipur,2021,4,12180,795149
manipur,2021,1,45367,795004
manipur,2021,1,18706,795001
manipur,2021,1,14339,795138
manipur,2021,1,13896,795133
manipur,2021,1,12018,795103
manipur,2021,1,10659,795008
manipur,2021,1,10577,795002
manipur,2021,1,10038,795148
manipur,2021,1,9835,795010
manipur,2021,1,9752,795149
manipur,2018,2,8370,795004
manipur,2018,2,3001,795001
manipur,2018,2,2602,795138
manipur,2018,2,1893,795133
manipur,2018,2,1795,795130
manipur,2018,2,1775,795149
manipur,2018,2,1773,795008
manipur,2018,2,1728,795002
manipur,2018,2,1539,795148
manipur,2018,2,1516,795103
manipur,2018,3,10911,795004
manipur,2018,3,4101,795001
manipur,2018,3,3219,795138
manipur,2018,3,2534,795133
manipur,2018,3,2316,795002
manipur,2018,3,2279,795008
manipur,2018,3,2219,795103
manipur,2018,3,2128,795130
manipur,2018,3,2114,795149
manipur,2018,3,2056,795148
manipur,2018,4,14342,795004
manipur,2018,4,5526,795001
manipur,2018,4,4221,795138
manipur,2018,4,3508,795133
manipur,2018,4,3077,795002
manipur,2018,4,2985,795103
manipur,2018,4,2877,795008
manipur,2018,4,2734,795148
manipur,2018,4,2679,795149
manipur,2018,4,2549,795010
manipur,2018,1,5825,795004
manipur,2018,1,2063,795001
manipur,2018,1,1608,795138
manipur,2018,1,1230,795008
manipur,2018,1,1211,795133
manipur,2018,1,1189,795002
manipur,2018,1,1034,795130
manipur,2018,1,1034,795149
manipur,2018,1,970,795009
manipur,2018,1,948,795010
manipur,2023,2,73902,795004
manipur,2023,2,30512,795001
manipur,2023,2,23606,795138
manipur,2023,2,23177,795133
manipur,2023,2,20138,795103
manipur,2023,2,17664,795002
manipur,2023,2,17497,795008
manipur,2023,2,16688,795148
manipur,2023,2,16376,795010
manipur,2023,2,16351,795149
